
2024/03/18 (08:37:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/18 (08:37:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/18 (08:37:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/18 (08:37:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/18 (08:37:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/18 (08:37:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/18 (12:15:40) | ===> btop++ v.1.3.2
2024/03/18 (12:15:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/18 (12:15:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/18 (12:15:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/18 (12:15:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/18 (12:15:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/18 (12:15:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/18 (13:08:03) | ===> btop++ v.1.3.2
2024/03/18 (13:08:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/18 (13:08:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/18 (13:08:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/18 (13:08:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/18 (13:08:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/18 (13:08:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/19 (18:51:34) | ===> btop++ v.1.3.2
2024/03/19 (18:51:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/19 (18:51:34) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/19 (18:51:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/19 (18:51:34) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/19 (18:51:34) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/19 (18:51:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/26 (16:00:35) | ===> btop++ v.1.3.2
2024/03/26 (16:00:35) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/04/02 (14:08:50) | ===> btop++ v.1.3.2
2024/04/02 (14:08:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/02 (14:08:50) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
